date,action,price,quantity,pnl,commission,slippage
2025-02-24 13:35:00+05:30,SHORT,22535.45,4,,,
2025-02-24 14:35:00+05:30,COVER,22566.15,4,-122.80000000000291,,
2025-02-25 13:10:00+05:30,BUY,22592.75,4,,,
2025-02-25 14:45:00+05:30,SELL,22577.55,4,-151.11020000001008,,
2025-02-25 15:05:00+05:30,SHORT,22555.3,4,,,
2025-02-27 09:45:00+05:30,COVER,22554.4,4,3.599999999991269,,
2025-02-28 09:15:00+05:30,SHORT,22322.05,4,,,
2025-02-28 09:55:00+05:30,COVER,22235.35,4,346.8000000000029,,
2025-02-28 12:30:00+05:30,SHORT,22212.0,4,,,
2025-02-28 12:50:00+05:30,COVER,22143.35,4,274.6000000000058,,
2025-03-03 09:50:00+05:30,SHORT,22053.65,4,,,
2025-03-03 10:30:00+05:30,COVER,22059.35,4,-22.79999999998836,,
2025-03-04 13:00:00+05:30,SHORT,22040.5,4,,,
2025-03-04 13:50:00+05:30,COVER,22065.0,4,-98.0,,
2025-03-05 09:20:00+05:30,BUY,22176.8,4,,,
2025-03-05 09:45:00+05:30,SELL,22257.75,4,234.76900000000023,,
2025-03-05 11:35:00+05:30,BUY,22329.8,4,,,
2025-03-05 12:30:00+05:30,SELL,22385.85,4,134.65660000000207,,
2025-03-06 11:05:00+05:30,BUY,22413.1,4,,,
2025-03-06 11:25:00+05:30,SELL,22340.2,4,-380.9607999999862,,
2025-03-06 14:40:00+05:30,BUY,22539.0,4,,,
2025-03-07 09:35:00+05:30,SELL,22485.1,4,-305.5404000000126,,
2025-03-07 10:05:00+05:30,BUY,22584.9,4,,,
2025-03-07 12:00:00+05:30,SELL,22532.45,4,-299.92979999999807,,
2025-03-10 09:45:00+05:30,BUY,22652.45,4,,,
2025-03-10 10:25:00+05:30,SELL,22607.95,4,-268.43180000000575,,
2025-03-10 13:40:00+05:30,SHORT,22565.2,4,,,
2025-03-10 14:15:00+05:30,COVER,22510.15,4,220.1999999999971,,
2025-03-10 14:40:00+05:30,SHORT,22436.75,4,,,
2025-03-10 15:05:00+05:30,COVER,22477.7,4,-163.8000000000029,,
2025-03-11 09:15:00+05:30,SHORT,22343.55,4,,,
2025-03-11 09:45:00+05:30,COVER,22399.75,4,-224.8000000000029,,
2025-03-12 11:35:00+05:30,SHORT,22353.65,4,,,
2025-03-12 13:05:00+05:30,COVER,22389.75,4,-144.39999999999418,,
2025-03-13 09:55:00+05:30,BUY,22529.25,4,,,
2025-03-13 10:55:00+05:30,SELL,22492.8,4,-235.77120000000286,,
2025-03-13 11:50:00+05:30,SHORT,22404.8,4,,,
2025-03-13 12:10:00+05:30,COVER,22443.2,4,-153.60000000000582,,
2025-03-13 14:20:00+05:30,SHORT,22410.7,4,,,
2025-03-17 09:15:00+05:30,COVER,22502.65,4,-367.8000000000029,,
2025-03-18 09:25:00+05:30,BUY,22644.25,4,,,
2025-03-18 10:00:00+05:30,SELL,22738.15,4,284.64740000000165,,
2025-03-18 14:55:00+05:30,BUY,22804.55,4,,,
2025-03-18 15:15:00+05:30,SELL,22849.7,4,89.20120000001043,,
2025-03-19 10:15:00+05:30,BUY,22899.35,4,,,
2025-03-19 11:50:00+05:30,SELL,22900.2,4,-88.20079999999143,,
2025-03-20 09:25:00+05:30,BUY,23065.2,4,,,
2025-03-20 09:45:00+05:30,SELL,23021.25,4,-267.8850000000093,,
2025-03-20 12:40:00+05:30,BUY,23093.7,4,,,
2025-03-20 13:10:00+05:30,SELL,23143.35,4,106.02659999999742,,
2025-03-21 09:30:00+05:30,BUY,23225.9,4,,,
2025-03-21 10:25:00+05:30,SELL,23299.45,4,201.00220000000263,,
2025-03-21 12:20:00+05:30,BUY,23378.3,4,,,
2025-03-21 13:30:00+05:30,SELL,23346.65,4,-219.98659999998927,,
2025-03-24 09:20:00+05:30,BUY,23518.4,4,,,
2025-03-24 10:45:00+05:30,SELL,23590.85,4,195.43659999998636,,
2025-03-24 13:55:00+05:30,BUY,23670.0,4,,,
2025-03-24 15:00:00+05:30,SELL,23635.1,4,-234.14040000000386,,
2025-03-25 09:15:00+05:30,BUY,23726.9,3,,,
2025-03-25 09:45:00+05:30,SELL,23810.85,3,180.417449999979,,
2025-03-25 13:50:00+05:30,BUY,23732.8,3,,,
2025-03-25 14:10:00+05:30,SELL,23739.9,3,-49.919699999984005,,
2025-03-25 15:20:00+05:30,SHORT,23650.95,4,,,
2025-03-26 10:30:00+05:30,COVER,23698.2,4,-189.0,,
2025-03-26 13:05:00+05:30,SHORT,23565.5,3,,,
2025-03-26 13:45:00+05:30,COVER,23505.45,3,180.14999999999782,,
2025-03-26 14:50:00+05:30,SHORT,23487.7,4,,,
2025-03-27 09:25:00+05:30,COVER,23543.85,4,-224.59999999999127,,
2025-03-28 12:35:00+05:30,SHORT,23508.5,3,,,
2025-03-28 14:25:00+05:30,COVER,23571.8,3,-189.89999999999782,,
2025-04-01 09:15:00+05:30,SHORT,23420.55,3,,,
2025-04-01 09:35:00+05:30,COVER,23535.55,3,-345.0,,
2025-04-01 10:20:00+05:30,SHORT,23374.85,3,,,
2025-04-01 10:55:00+05:30,COVER,23243.15,3,395.09999999999127,,
2025-04-04 09:15:00+05:30,SHORT,23094.45,4,,,
2025-04-04 09:50:00+05:30,COVER,22986.2,4,433.0,,
2025-04-04 13:10:00+05:30,SHORT,22938.05,4,,,
2025-04-04 14:40:00+05:30,COVER,22872.4,4,262.59999999999127,,
2025-04-07 09:15:00+05:30,SHORT,21888.35,4,,,
2025-04-07 10:40:00+05:30,COVER,22007.55,4,-476.8000000000029,,
2025-04-07 12:00:00+05:30,SHORT,21938.1,4,,,
2025-04-07 14:00:00+05:30,COVER,22007.55,4,-277.8000000000029,,
2025-04-07 15:15:00+05:30,BUY,22173.55,4,,,
2025-04-08 09:20:00+05:30,SELL,22515.15,4,1276.3394000000117,,
2025-04-08 12:10:00+05:30,BUY,22552.3,4,,,
2025-04-08 13:25:00+05:30,SELL,22687.3,4,449.25079999999434,,
2025-04-11 09:20:00+05:30,BUY,22812.1,4,,,
2025-04-11 10:35:00+05:30,SELL,22743.55,4,-365.174199999994,,
2025-04-11 11:35:00+05:30,BUY,22888.0,4,,,
2025-04-11 13:30:00+05:30,SELL,22849.1,4,-246.99640000000363,,
2025-04-15 09:15:00+05:30,BUY,23279.4,4,,,
2025-04-15 12:05:00+05:30,SELL,23325.5,4,91.09799999999814,,
2025-04-15 12:30:00+05:30,BUY,23345.75,3,,,
2025-04-15 13:35:00+05:30,SELL,23327.2,3,-125.63159999999334,,
2025-04-16 14:00:00+05:30,BUY,23402.75,3,,,
2025-04-16 15:20:00+05:30,SELL,23450.35,3,72.44894999999087,,
2025-04-17 11:35:00+05:30,BUY,23558.0,3,,,
2025-04-17 12:15:00+05:30,SELL,23649.45,3,203.4016499999998,,
2025-04-21 09:15:00+05:30,BUY,23960.4,3,,,
2025-04-21 10:05:00+05:30,SELL,24057.55,3,219.27734999998938,,
2025-04-21 12:15:00+05:30,BUY,24166.0,3,,,
2025-04-21 13:40:00+05:30,SELL,24113.2,3,-230.7396000000008,,
2025-04-22 09:35:00+05:30,BUY,24186.15,3,,,
2025-04-22 12:00:00+05:30,SELL,24211.05,3,2.066849999988335,,
2025-04-22 15:25:00+05:30,SHORT,24134.05,3,,,
2025-04-23 09:30:00+05:30,COVER,24285.85,3,-455.3999999999978,,
2025-04-24 14:55:00+05:30,SHORT,24221.25,3,,,
2025-04-24 15:15:00+05:30,COVER,24252.4,3,-93.45000000000437,,
2025-04-25 09:20:00+05:30,BUY,24303.6,3,,,
2025-04-25 09:40:00+05:30,SELL,24208.15,3,-358.9744499999797,,
2025-04-25 10:00:00+05:30,SHORT,23961.0,3,,,
2025-04-25 12:55:00+05:30,COVER,24026.45,3,-196.35000000000218,,
2025-04-28 09:30:00+05:30,BUY,24184.3,3,,,
2025-04-28 10:50:00+05:30,SELL,24272.45,3,191.6326500000141,,
2025-04-28 12:15:00+05:30,BUY,24327.65,3,,,
2025-04-28 14:35:00+05:30,SELL,24281.55,3,-211.14465000001655,,
2025-04-29 09:20:00+05:30,BUY,24453.7,3,,,
2025-04-29 09:40:00+05:30,SELL,24316.6,3,-484.2498000000196,,
2025-04-30 09:20:00+05:30,SHORT,24308.05,3,,,
2025-04-30 09:40:00+05:30,COVER,24348.5,3,-121.35000000000218,,
2025-04-30 15:05:00+05:30,BUY,24379.75,3,,,
2025-04-30 15:25:00+05:30,SELL,24246.25,3,-473.2387500000041,,
2025-05-02 09:30:00+05:30,BUY,24525.0,3,,,
2025-05-02 10:50:00+05:30,SELL,24427.4,3,-366.0821999999898,,
2025-05-02 12:25:00+05:30,SHORT,24242.75,3,,,
2025-05-02 12:45:00+05:30,COVER,24295.85,3,-159.29999999999563,,
2025-05-07 10:05:00+05:30,SHORT,24304.95,3,,,
2025-05-07 10:30:00+05:30,COVER,24372.85,3,-203.69999999999345,,
2025-05-08 13:35:00+05:30,SHORT,24341.45,3,,,
2025-05-08 14:50:00+05:30,COVER,24263.05,3,235.20000000000437,,
2025-05-08 15:20:00+05:30,SHORT,24213.75,3,,,
2025-05-09 09:25:00+05:30,COVER,24080.8,3,398.8500000000022,,
2025-05-09 13:20:00+05:30,SHORT,23977.95,3,,,
2025-05-09 14:20:00+05:30,COVER,23978.0,3,-0.1499999999978172,,
2025-05-12 09:15:00+05:30,BUY,24561.4,3,,,
2025-05-12 09:55:00+05:30,SELL,24725.0,3,416.62499999998545,,
2025-05-12 11:25:00+05:30,BUY,24733.3,3,,,
2025-05-12 12:35:00+05:30,SELL,24803.25,3,135.44024999999965,,
2025-05-12 14:15:00+05:30,BUY,24887.0,3,,,
2025-05-13 09:20:00+05:30,SELL,24782.5,3,-387.8475000000035,,
2025-05-13 12:55:00+05:30,SHORT,24604.6,3,,,
2025-05-14 09:15:00+05:30,COVER,24663.05,3,-175.35000000000218,,
2025-05-14 12:45:00+05:30,SHORT,24602.8,3,,,
2025-05-14 13:25:00+05:30,COVER,24644.95,3,-126.45000000000437,,
2025-05-14 14:30:00+05:30,SHORT,24586.15,3,,,
2025-05-14 14:50:00+05:30,COVER,24632.95,3,-140.39999999999782,,
2025-05-15 09:35:00+05:30,SHORT,24564.05,3,,,
2025-05-15 10:30:00+05:30,COVER,24622.15,3,-174.30000000000655,,
2025-05-15 10:55:00+05:30,BUY,24780.3,3,,,
2025-05-15 11:15:00+05:30,SELL,24654.6,3,-451.06380000000354,,
2025-05-15 13:00:00+05:30,BUY,24734.65,3,,,
2025-05-15 13:20:00+05:30,SELL,24880.05,3,361.559849999976,,
2025-05-19 14:00:00+05:30,SHORT,24949.5,3,,,
2025-05-20 09:50:00+05:30,COVER,24873.7,3,227.39999999999782,,
2025-05-20 12:55:00+05:30,SHORT,24792.5,3,,,
2025-05-20 14:05:00+05:30,COVER,24735.5,3,171.0,,
2025-05-20 14:25:00+05:30,SHORT,24704.1,3,,,
2025-05-21 09:30:00+05:30,COVER,24771.75,3,-202.95000000000437,,
2025-05-21 12:15:00+05:30,SHORT,24713.25,3,,,
2025-05-21 12:35:00+05:30,COVER,24795.7,3,-247.35000000000218,,
